solar_curr_mA,load_power_mW
0.0,7746.055314542225
0.0,7745.935019110841
0.0,7745.814721811233
0.0,7745.694422643316
0.0,7745.574121607003
0.0,7745.453818702205
0.0,7745.333513928837
0.0,7745.213207286812
0.0,7745.092898776041
0.0,7744.9725883964375
0.0,7744.852276147915
0.0,7744.731962030386
0.0,7744.611646043765
0.0,7744.491328187962
0.0,7744.371008462892
0.0,7744.250686868467
0.0,7744.130363404601
0.0,7744.010038071205
0.0,7743.889710868193
0.0,7743.769381795478
0.0,7743.649050852972
1359.049929305911,7743.5839294439675
1313.499960815534,7743.516956555516
1242.9500930011272,7743.447116537921
1147.8499800432473,7743.373411992896
1029.8499546479436,7743.294912551422
1076.0499571915718,7743.218288765096
1191.6999937966466,7743.1463620706745
1284.099998883903,7743.078188008606
1353.1498552765697,7743.012818037401
1395.8000636193901,7742.949179714924
1412.399869877845,7742.886214770484
1402.4999109096825,7742.822846661569
1364.499912597239,7742.757933817801
1300.899893976748,7742.690436214326
1212.700008181855,7742.619354441348
1100.2000246662647,7742.543701251664
1055.2500316407531,7742.466220792564
1179.9500498455018,7742.393805067323
1283.4499648306519,7742.325592900457
1362.4000712297857,7742.260587021313
1415.7500118017197,7742.197747472978
1441.7499187402427,7742.135963193999
1440.2999659068885,7742.074119050208
1411.9500701781362,7742.011122230479
1355.2499876823276,7741.945820990541
1273.3999756164849,7741.877193578664
1166.9499508570882,7741.804240567603
1036.6000060457739,7741.725990955837
1160.649917437695,7741.652779655154
1273.800007766113,7741.584163938631
1368.0499978363514,7741.519376061128
1428.9500541053712,7741.457061241083
1466.2998728454113,7741.396262788529
1473.7001038156452,7741.335764025026
1455.0000196322799,7741.274504629916
1406.049996148795,7741.211255687573
1330.499944742769,7741.144936540909
1229.0998711250722,7741.074496985018
1104.3500126106667,7740.998988370798
1143.4499901952222,7740.925067018992
1265.399914700538,7740.856098733357
1366.1998673342168,7740.791224373287
1440.699852537364,7740.729375566252
1486.6999117657545,7740.6693945497955
1504.1499864310026,7740.610121509822
1494.04993862845,7740.550437233605
1453.7500101141632,7740.489114844582
1386.3499043509364,7740.42505337256
1295.44991068542,7740.357298091979
1171.749972854741,7740.284516447639
1118.2500020368027,7740.209560235008
1253.4498819150033,7740.140095351676
1362.8500164486468,7740.075073768376
1448.8998567685485,7740.0135469484985
1504.3499297462404,7739.954271830837
1533.3500050473958,7739.896173919245
1531.2500181607904,7739.837989791991
1500.5499881226572,7739.77855757097
1440.699998056516,7739.716693019625
1352.099934592843,7739.651228128378
1238.9499170240015,7739.581165499319
1101.6499774996191,7739.505523970329
1236.2499546725305,7739.435349388719
1357.1500312536955,7739.37008528105
1451.4000213239342,7739.308649063929
1518.2000061031433,7739.249925640425
1555.9999155811965,7739.19273692467
1564.9999841116369,7739.135912946985
1542.9500490427017,7739.078192306638
1491.3000632077456,7739.0183724876015
1410.4999718256295,7738.955269234166
1301.949960179627,7738.887755154718
1169.0000246744605,7738.814838933712
1214.9999383836985,7738.743790324698
1344.7500532492995,7738.678011708635
1449.3499475065619,7738.616481439792
1528.04990648292,7738.558147399384
1572.1499221399426,7738.501604014433
1594.6499479468914,7738.4459738132
1578.7000302225351,7738.389694780925
1536.249910714105,7738.331690336804
1461.9500143453479,7738.2706665567885
1360.9499728772792,7738.205538700486
1233.8999658823016,7738.135248424165
1187.0999878738075,7738.063055804902
1327.7499238029122,7737.996575965824
1443.2499301619828,7737.934787279926
1530.149893369526,7737.876527943446
1588.099985383451,7737.820621922777
1618.3499246835709,7737.765943935827
1613.7000056914987,7737.71107619495
1579.4999490026385,7737.654818222839
1515.0499530136585,7737.59594109406
1420.7500498741867,7737.533232115358
1296.2499749846759,7737.465464345103
1158.099912572652,7737.392083173796
1308.8500418234617,7737.324825084334
1432.950084563345,7737.26260751224
1532.6500579249116,7737.20443928313
1601.149997441098,7737.149052958647
1639.5500279031694,7737.095225773275
1646.899909246713,7737.041696338961
1621.2501213885844,7736.987124048769
1565.2499860152604,7736.930275903585
1478.100020904094,7736.869886406137
1362.7999578602612,7736.804811903557
1220.6999235786498,7736.733963574062
1286.7999612353742,7736.665799455678
1421.449996996671,7736.603104433842
1529.34982907027,7736.544791866654
1609.1499128378928,7736.489720270053
1657.8499344177546,7736.436626254453
1671.2500655557963,7736.384075792582
1658.64999871701,7736.331012634849
1609.9499771371486,7736.275970212598
1529.5500634238126,7736.217660686886
1422.6499479264023,7736.155007436132
1286.1999857705089,7736.086809930176
1258.0500333569944,7736.01746777057
1403.5499771125615,7735.954035466505
1521.1000572890046,7735.895377646774
1610.3498637676241,7735.840344687084
1671.2499200366437,7735.787784935265
1696.8499403446913,7735.736264365853
1690.1499475352468,7735.684470806984
1651.5499737579378,7735.631108317672
1578.1998808961362,7735.574765149886
1479.7499170526864,7735.514421574941
1348.3500515576454,7735.448738940772
1226.1499068699777,7735.378090902881
1382.1499305777252,7735.313779265764
1510.2500037755817,7735.254670692592
1609.699975233525,7735.199601353993
1679.6500131022185,3768.436314148135
1715.9999697469175,3768.4427727457696
1720.1498849317431,3768.449313524281
1691.0000704228878,3768.4552774271183
1627.7498798444867,3768.4599895467936
1534.999901195988,3768.4628660242
1410.7000606600197,3768.4632824215896
1260.7999087776989,3768.460732048178
1359.449961455539,3768.4601341051134
1496.7499009799214,3768.46225355232
1606.0000052675607,3768.4665352566435
1687.0000399649143,3768.4724201179024
1733.8000179734083,3768.4792312716763
1744.3500109948218,3768.486251277106
1728.14994584769,3768.492950707481
1674.1998842917385,3768.498582425115
1587.8998965490612,3768.5025061632605
1472.1999468747526,3768.504140035205
